标题,时间,内容,一级类别,来源网站,访问地址,附件链接
河北省教育厅关于开展《习近平谈治国理政》第三卷经典诵读活动的通知,2020年08月27日,"各高等学校：

为深入学习贯彻习近平新时代中国特色社会主义思想，切实做好习近平新时代中国特色社会主义思想“三进”工作，引导广大青年学子坚定理想信念，激发学习热情，经研究，决定在全省高校开展《习近平谈治国理政》第三卷经典诵读活动，现将有关事项通知如下。

一、活动时间

2020年9月中旬——2020年12月

二、活动内容

以学习《习近平谈治国理政》第三卷著作内容为重点，以鲜活的视频朗读为表现形式，在青年学子中开展广泛深入持久的学习热潮，集中展示河北青年学子学习习近平新时代中国特色社会主义思想的学习热情，发出河北学子学习习近平总书记系列经典著作最强音。

三、活动步骤

《习近平谈治国理政》第三卷经典诵读活动在河北省120多所高校中开展，采取统一发起、高校接力、自主拍摄、统一发布的方式，在河北日报客户端、河北新闻网全程发布诵读作品，并制作活动专题集中展示。各高校也可依托官方微博、微信等新媒体平台发布。

（一）组织发起（时间：9月中旬）

首期作品邀请参加学校思想政治理论课教师座谈会的6位教师代表作为朗读嘉宾对《习近平谈治国理政》首节录制朗读，按诵读排序逐步引燃全省高校学习贯彻热潮。

（二）高校诵读（时间：9月中旬—12月）

以学校党委书记和学生代表为诵读主体，按要求将《习近平谈治国理政》第三卷内容逐篇诵读（诵读章节详见附件），党委书记诵读后谈个人感悟，感悟时长不超过30秒。诵读人数及具体地点灵活多样，长文可节选部分内容。

四、相关要求

《习近平谈治国理政》第三卷经典诵读活动是深入开展习近平新时代中国特色社会主义思想“三进”工作的集中展示，各高校需高度重视，认真做好组织和宣传工作，用好作品营造好氛围，不断深化学习成效，形成不同高校“同学习、齐分享、共实践”的生动局面。

各高校于9月15日前将诵读视频发送指定邮箱songdujielong@163.com，作品时长不超过5分钟，像素不低于1920×1080P,格式限定flv、mp4、avi、wmv、mpg、mov、mkv、f4v、rmvb、3gp，请保持画质清晰，声音干净，视频配有中文简体字幕，不得有商业广告图像。片头片尾样片由各高校剪辑视频时统一放置，样片可登录邮箱j3sddjl@163.com下载，密码j3sddjl163。

五、联系人及联系方式

河北日报编辑部

联系人：马利

联系电话：0311-675634391863216608

河北省教育厅德育处

联系人：宣懿楠

联系电话：0311—66005799

附件：诵读章节
冀教德育函2020年30号.doc
　　河北省教育厅
　　
　　2020年8月24日",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2020/08/27/1599730579308.html,http://jyt.hebei.gov.cnmailto:songdujielong@163.com;http://jyt.hebei.gov.cnmailto:j3sddjl@163.com;
河北省教育厅关于做好2020年全省高校思想政治理论课教师信息统计工作的...,2020年08月27日,"各高等学校：

为深入学习贯彻习近平新时代中国特色社会主义思想，全面贯彻落实全国全省高校思想政治工作会议和学校思想政治理论课教师座谈会精神，进一步加强高校思想政治理论课教师队伍建设和教育教学管理工作，全面了解掌握全省高校思想政治理论课教师队伍建设最新情况，决定开展2020年全省高校思想政治理论课教师信息统计工作。现将有关事项通知如下：

一、统计对象

从事高校思想政治理论课（包括本、专科生和研究生三个层次的思想政治理论课）教学的教师。

二、报送要求

1.报送材料为《河北省普通高等学校思想政治理论课教师个人信息统计表》（附件1）和《河北省普通高等学校思想政治理论课教师总体情况统计表》（附件2），电子版相关材料请在河北德育网下载。

2.请务必于2020年9月20日前将统计表电子版发送至指定邮箱。同时，将加盖学校公章的《河北省普通高等学校思想政治理论课教师个人信息统计表》和《河北省普通高等学校思想政治理论课教师总体情况统计表》扫描成PDF文档格式，一并发送至指定邮箱。

3.此次统计结果将作为制定政策、开展培训的重要依据。各高校要高度重视，认真组织，指定专人负责，确保数据统计的真实性和准确性。

三、联系方式

联系人：杜亚辉

联系电话：0311-66005798

电子邮箱：jyt1319@163.com

附件：1.河北省普通高等学校思想政治理论课教师个人信息统计表

2.河北省普通高等学校思想政治理论课教师总体情况统计表

　　河北省教育厅
　　
　　2020年8月21日",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2020/08/27/1599730579801.html,http://jyt.hebei.gov.cnmailto:jyt1319@163.com;
河北省教育厅关于做好2020年普通高等学校辅导员队伍统计工作的通知,2020年08月27日,"　　各高等学校：

为深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神，落实好全国、全省高校思想政治工作会议精神，进一步加强全省高校辅导员队伍的职业化、专业化建设，全面了解全省高校辅导员队伍建设最新情况，决定开展2020年全省普通高等学校辅导员队伍统计工作。现将有关事项通知如下：

一、报送材料及方式

1.报送材料为《河北省普通高等学校辅导员信息统计表》（附件1）和《河北省普通高等学校辅导员队伍统计表》（附件2），电子版相关材料请在河北德育网下载。

2.各项数据统计包含2020级学生，请务必于2020年9月20日前将统计表电子版发送至指定邮箱。同时，将加盖学校公章的《河北省普通高等学校辅导员信息统计表》和《河北省普通高等学校辅导员队伍统计表》扫描成PDF文档格式，一并发送至指定邮箱。

二、填写要求

1.本次统计工作只统计专职和一线专职辅导员，兼职辅导员、“2+2”、“2+3”等类型的辅导员不在统计范围。

2.专职辅导员是指从事大学生日常思想政治教育工作的人员，包括院系学工组长、团总支书记、党总支副书记等副处级以下从事学生工作的人员。一线专职辅导员是专职辅导员的一部分，是指专职在一线从事大学生日常思想政治教育工作的辅导员，不含院系学工组长、团总支书记、党总支副书记等。

3.凡统计表中涉及下拉框的单元格，请从下拉选项中选择，如没有出现下拉框，请直接填写。

4.此次统计结果将作为制定政策、开展培训的重要依据，各高校要高度重视辅导员队伍统计工作，指定专人负责此项工作，按照要求认真统计、如实上报。

三、联系方式

联系人：王瑞飞

联系电话：0311-66005799

电子邮箱：dycwrf@163.com

邮寄地址：石家庄市中山西路449号省教育厅1321房间

附件：1.河北省普通高等学校辅导员信息统计表

2.河北省普通高等学校辅导员队伍统计表
　　河北省教育厅
　　
　　2020年8月21日

河北省教育厅关于做好2020年普通高等学校辅导员队伍统计工作的通知.rar",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2020/08/27/1599730580123.html,
河北省教育厅关于命名河北省第二批“北京 2022 年冬奥会和冬残奥会奥...,2020年08月21日,"
点击下载河北省教育厅关于命名河北省第二批“北京2022年冬奥会和冬残奥会奥林匹克教育示范学校”和河北省第二批“校园冰雪运动特色学校”的通知
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2020/08/21/1599730579962.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20200821182738307.pdf;
河北省教育厅关于继续做好2019年全国青少年校园篮球特色学校遴选等有关...,2019年03月04日,"石家庄、唐山、邯郸市教育局：
现将教育部办公厅《关于继续做好2019年全国青少年校园篮球特色学校遴选等有关工作的通知》（教体艺厅函〔2019〕11号）转发给你们，并提出如下要求：
一、石家庄、唐山、邯郸三市教育局要按照通知要求，在2017年、2018年已经遴选的全国青少年校园篮球特色学校的基础上，继续发挥篮球运动群众基础雄厚、校园篮球普及面广的优势，结合实际，合理布局，严格把关，认真组织，确保把有条件、基础好、意愿强的学校遴选出来（名额分配见附件）。
二、要认真组织好小学组、初中组两个组别的联赛工作。3月底前，小学组的联赛由三市组织，完成本地特色学校代表队联赛和最佳球队选拔工作。4月上中旬，省教育厅将组织实施初中组联赛，具体比赛办法另行通知。
三、要以这次遴选校园篮球特色学校为契机，进一步加大校园篮球师资培训力度，不断提高特色学校骨干教师教学、训练、研究和管理水平，并积极组织参加全国校园篮球培训活动。
四、请务于3月31日前将《全国校园篮球特色学校申报表》和相关支撑材料报省教育厅思政体卫艺处，同时将电子版报指定邮箱。
联系人：张民，0311-66005202
邮箱：hbjyt2014@126.com
附件：全国青少年校园篮球特色学校名额分配表
河北省教育厅
2019年3月1日

附件

全国青少年校园篮球特色学校名额分配表





单位


小学


初中


高中




石家庄市


4


3


3




唐山市


4


3


3




邯郸市


4


3


3





",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2019/03/04/1551681416680.html,
河北省教育厅关于举办河北省第十届大中学生武术比赛的通知,2018年11月09日,"
各市（含定州、辛集市）教育局，雄安新区管委会公共服务局，各高等学校：
为深入贯彻落实全国教育大会和《河北省人民政府办公厅关于强化学校体育促进学生身心健康全面发展的实施意见》（冀政办字〔2016〕144号）精神，强化体育课和课外体育锻炼，决定于2018年12月3日-6日在衡水学院举办河北省第十届大中学生武术比赛。现将竞赛规程印发给你们，请按照有关规定要求，认真做好各项准备及参赛工作。

附件：
1．河北省第十届大中学生武术比赛竞赛规程
2．河北省第十届大中学生武术比赛报名表
3．河北省第十届大中学生武术比赛运动员资格审查表
4．河北省第十届大中学生武术比赛随队裁判员登记表

通知及附件下载



河北省教育厅
2018年11月7日

",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/11/09/1541750827251.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20181109160559670.doc;
河北省教育厅关于加强中小学校合成材料面层运动场地建设管理的通知,2018年11月07日,"
各市（含定州、辛集市）教育局，雄安新区管委会公共服务局：
为进一步加强中小学合成材料面层运动场地建设管理，营造清新健康的校园环境，确保中小学广大师生员工的健康安全，由国家市场监督管理总局和国家标准化管理委员会联合印发的强制性国家标准《中小学合成材料面层运动场地》（GB36246-2018，以下简称新国标），将于2018年11月1日开始实施。为保证新国标在我省各级各类中小学校的顺利实施，现就有关工作要求通知如下：
一、切实提高政治站位。各级教育行政部门和中小学校要充分认识新国标对提高合成材料面层运动场地质量、改善校园环境、保障学生健康安全、提升学校体育办学条件的重要意义，把全面实施新国标作为深入贯彻全国教育大会精神，树立健康第一教育理念的有利契机，切实加强中小学合成材料面层运动场地的建设、使用和管理工作。
二、加强宣传贯彻力度。新国标吸收借鉴了国内外相关技术标准，有针对性地解决了合成材料面层运动场地建设中存在的安全、环保、运动防护等突出问题，并综合考虑中小学合成材料面层运动场地全生命周期中各个环节的主要风险点，科学制定了符合绿色发展、技术进步、行业规范以及学生健康防护要求的各项技术指标。各级教育行政部门和学校要认真学习宣传贯彻新国际，采取有效措施，推动新国际的全面有效实施。从2018年11月1日以后，所有新建（改建、扩建）的中小学合成材料面层运动场地都必须严格执行新国标。
三、健全长效监管机制。各级教育行政部门要结合本地实际，制定出台相关实施方案，明确责任，健全长效监管机制。中小学校在新建合成材料面层运动场地的招标采购、安装施工、质量检查和监理验收过程中，要落实好政府有关部门、学校作为采购者、监督者和使用者的主体责任，做到分工明确，责权清晰。各地在招标采购中应直接面向施工企业，避免过多中间环节，要着重遏制层层转包和低价中标行为。
四、注重加强督导检查。各级教育行政部门要加强与环保、质监和体育等部门的合作，定期联合开展督导检查和专项整治，对因徇私舞弊、玩忽职守、吃拿卡要、索贿受贿等造成场地设施不符合新国家标准而危害师生身体健康的，要依法依规依纪，予以追责问责和严肃查处。
各市教育局要于近期开展一次新国标实施工作的专项部署，并于年底前将新国标落实情况报我厅思政体卫艺处。
联系人：张民；联系电话：0311-66005202




河北省教育厅
2018年11月7日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/11/07/1541579308819.html,
河北省教育厅关于举办河北省第十三届普通高校校长体育比赛的通知,2018年10月31日,"
附件、冀教政体函2018年126号",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/10/31/1540952049071.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20181031101317185.zip;
 河北省教育厅转发教育部关于公布2018年全国青少年校园足球特色学校及...,2018年09月25日,"




",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/09/25/1537866598311.html,
河北省教育厅关于转发教育部《全国青少年校园足球改革试验区基本标准（试行...,2018年08月30日,"
各市（含定州、辛集市）教育局，雄安新区管委会公共服务局：
　　为进一步规范全国青少年校园足球改革试验区和全国青少年校园足球试点县（区）建设工作，教育部办公厅印发了《全国青少年校园足球改革试验区基本标准（试行）》和《全国青少年校园足球试点县（区）基本标准（试行）》的通知。现转发给你们，请各地根据通知要求和当地实际，切实做好校园足球改革试验区和试点县（区）规划、申报、建设工作，确保全省校园足球工作健康发展。

通知及附件下载



河北省教育厅
2018年8月27日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/08/30/1535599191335.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20180830111822186.doc;
河北省教育厅关于举办河北省第二十届学校体育科研论文报告会的通知,2018年08月24日,"
各市（含定州、辛集市）教育局，雄安新区管委会公共服务局，各普通高等学校：
为贯彻落实党的十九大精神和《河北省人民政府办公厅关于强化学校体育促进学生身心健康全面发展的实施意见》（冀政办字〔2016〕144号），深化体育课程改革，强化体育课和课外锻炼，大力提高体育教育教学质量和工作水平，促进青少年身心健康、体魄强健，经研究，决定于2018年12月在河北师范大学举办河北省第二十届学校体育科研论文报告会。现将有关事项通知如下：
一、时间地点
具体时间地点另行通知。
二、参加人员
河北省大、中、小学体育教师及学校体育管理、科研人员等。
三、论文要求
（一）重点突出。论文选题要以研究和探索强化体育课和课外锻炼，促进青少年身心健康、体魄强健、全面发展，实现立德树人根本任务为主。注重课程体系建设，组织实施校园足球和冰雪项目进校园活动，保证学生每天1小时校园体育活动，增进学生健康、增强学生体质。注重课外体育锻炼与健身习惯养成，加强“一校一品”体育特色学校建设，丰富课余体育训练与竞赛活动，加强体育师资队伍建设，推动体育场地设施开发利用及开放管理，以及运动伤害防范、体育活动安全监督、保健康复课程实施等领域的研究。
（二）方法科学。要注重理论探索与实验研究，倡导定性研究与定量分析相结合，总结经验与指导实践并重。
（三）成果创新。研究成果要具有创新性，要客观把握工作现状，分析存在的问题；科学揭示规律，提出新的理论观点或丰富、发展已有的理论；提出有效建议或对策，有利于解决学校体育工作中的热点和难点问题。
四、论文报送要求
（一）报送的论文须是未在公开刊物上发表或在全国性学术会议报告过的论文。每市限报30篇（定州、辛集、雄安10篇），各高校可按体育教师人数5:1的比例报送。论文署名作者最多不超3人，严禁重复发表或一稿多投。
（二）报送的论文主题鲜明、论据翔实、形式规范、数据准确、结构严谨、图表清晰。主要包括：摘要、关键词、引言、正文、结论、参考文献。每篇论文一般不超过5000字（含图表），并提供不超过600字的论文摘要（不含图表）。
（三）请严格按照规定样式（附件1）报送论文，在附页上加盖所在单位公章，否则不予评审。
（四）以市教育局、雄安新区管委会公共服务局、高校为单位，于2018年11月1日前，将参评论文材料（每篇论文须报送纸质1份，参评论文推荐表1份，附页1份）和《河北省第二十届学校体育科研论文报告会参评论文推荐表》（附件2）寄交河北师范大学体育学院，逾期不再受理。同时，将参评论文材料电子文档（与纸质材料完全一致）发送至：tyxyxsgz@163.com。
地址：石家庄市南二环东路20号河北师范大学体育学院
联系人：刘少强电话:0311-80787711，18233155824
（五）各单位在报送论文前，请务必做好对报送论文的查重工作，每篇论文全文自重、他重内容重复率不得超过30%，否则取消该论文参评资格。
五、评审和奖励办法
（一）本次论文报告会设一、二、三等奖，颁发证书。
（二）优秀组织奖：根据论文报送数量和质量评选优秀组织奖，颁发奖牌。
六、未尽事项另行通知

附件：
1.河北省第二十届学校体育科研论文报告会论文样式
2.河北省第二十届学校体育科研论文报告会参评论文推荐表


通知及附件下载

河北省教育厅
2018年8月2日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/08/24/1535101040107.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20180824165216357.doc;
河北省教育厅转发教育部 国家体育总局 北京冬奥组委关于印发北京 202...,2018年08月17日,"




",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/08/17/1534471119813.html,
河北省教育厅关于举办2018年《国家学生体质健康标准》测试和数据报送工...,2018年08月07日,"
各市（含定州、辛集市）教育局，雄发新区管委会公共服务局，各高等学校：
为认真做好2018年《国家学生体质健康标准》（以下简称《标准》)测试和数据报送工作，不断提高测试工作质量和上报率，经研究，决定于2018年10月下旬举办《标准》测试和数据报送工作培训班。现将有关事宜通知如下：
一、时间地点
1.时间：2018年10月19日至21日，19日报到，20日培训，21日离会。
2.地点：河北师范大学国培大厦
二、参加人员
各市教育局、雄发新区管委会公共服务局选派各县（市、区）负责《标准》数据上报工作的管理员1人参加。各高等学校选派负责《标准》数据上报工作的管理员1人参加。
三、培训内容
1.部署2018年《标准》测试数据上报工作；
2.河北省《标准》数据管理中心管理与分析系统功能介绍；
3.数据上报流程演示和实际操作；
4.常见问题答疑。
四、有关要求
1.各地各校要高度重视本次培训工作，选派业务熟练、爱岗敬业的管理人员参加，要保证参训人数并按时报到，无特殊情况不得请假。
2.本次培训包含实际操作环节，请参训人员自备笔记本电脑。
3.培训班不安排接送站，请与会人员自行前往国培大夏报到（石家庄市裕华区南二环东路20号，河北师范大学新校区内）。
4.与会人员的交通费用自理，食宿、资料、培训费用由主办方承担。石家庄市内参加培训人员不安排食宿。
5.请各地各高校于2018年10月5日前将报名表（见附件）及电子版报河北师范大学体育学院，联系人：高峰，电话：0311-80787723，13673131907，邮箱：campus2000@163.com，地址：石家庄市南二环东路20号河北师范大学体育学院。

附件：2018年《国家学生体质健康标准》培训班报名表

通知及附件下载


河北省教育厅
2018年8月2日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/08/07/1533872294220.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/20180807230811167.docx;
河北省教育厅关于加强校园足球特色学校建设质量管理与考核的通知,2018年08月06日,"
各市（含定州、辛集市）教育局,雄安新区管委会公共服务局：
　　校园足球特色学校是普及发展校园足球的主体力量。2015至2017年，我省已有1060所中小学校被教育部认定为全国青少年校园足球特色学校（以下简称校园足球特色学校）。为切实加强校园足球特色学校建设质量管理与考核，现就有关事项通知如下：
　　一、明确监管主体，落实监管责任
按照全国青少年校园足球工作领导小组办公室（以下简称全国校足办）的统一部署，省、市、县（市、区）教育行政部门依据属地管理原则，负责本地区校园足球特色学校建设质量的日常指导和监管，对各级校园足球特色学校进行统筹管理、指导和监督。
二、明确第一责任人，加强组织领导
校园足球特色学校的校长是校园足球特色学校质量管理的第一责任人，要按照《全国青少年校园足球特色学校基本标准（试行）》、《河北省校园足球特色学校评估管理办法（试行）》的要求，建立校长直接领导、学校有关部门共同参加的校园足球工作领导小组，具体规划、指导本校校园足球工作的开展。要建立健全校园足球工作机制和管理监督办法，将校园足球纳入学校发展规划和年度工作计划，切实强化组织领导和条件保障，落实教育教学要求，完善训练和竞赛体系，培养优秀后备人才，夯实基础、打牢根基、提升质量，确保校园足球各项工作扎实、有效开展，促进学生全面、健康、快乐成长。
三、明确教学要求，丰富足球文化
校园足球特色学校要在严格执行国家对体育（与健康）课程的课时规定（小学1-2年级每周为4课时，小学3-6年级和初中每周为3课时，高中各年级每周为2课时）的基础上，确保义务教育阶段学校把足球作为体育课的必修内容，每周用一节体育课进行足球教学，高中阶段学校开设足球选修课，任何学校不得以任何理由削减、挤占体育课和足球教学时间；要在保证学生每天一小时校园体育活动的基础上，每周安排不少于3次有足球相关活动内容的大课间体育活动，每周一次以上课外足球活动；每学期要举行一次校内班级足球联赛，每个班参与联赛场次不少于10场；每年要组织一次包含足球嘉年华、摄影、绘画、征文、演讲、游戏及足球竞赛等内容的校园足球文化节。
四、明确条件保障，力争全员参与
校园足球特色学校至少保证有一块符合小学5人制、初中8人制、高中11人制的足球场地，选配好足球教科书和足球（保证足球课一人一球）；校园足球活动经费纳入学校年度预算；在配齐体育教师的基础上，至少配备一名足球专项体育教师；鼓励学校其他科任教师参加足球项目的业务培训，承担组织开展校园足球活动相关任务，形成全员参与校园足球活动的良好局面。
五、明确升学机制，提升激励作用
校园足球特色小学学生可对口直升片区内校园足球特色初中。高中校园足球特色学校可以根据组建学校足球队的需要，单列计划招收初中足球特长生。要把足球学习情况纳入学生档案，作为学生综合素质评价的参考依据。
六、明确安全管理，提高防范能力
校园足球特色学校要加强对学生的安全教育和管理，结合校园足球活动特点，制定包括安全教育培训、活动过程管理、安全防范规章制度、安全应急预案、事故保险赔付在内的学校体育运动风险管理办法。在全面实施校方责任险的基础上，探索实施政府购买学生体育运动伤害险的办法，进一步提升校园足球安全保障水平，解决学校、学生和家长的后顾之忧。要保证体育设施器材的建设、配备质量，定期进行检查和维护，及时消除安全隐患。
七、明确评价机制，确保建设质量
各级教育行政部门要建立青少年校园足球评价监管机制，纳入教育督导工作范围。对校园足球特色学校办学条件、师资队伍、教学质量、活动成效等方面进行动态监管，定期进行检查评估。对工作突出的个人和学校进行表彰奖励，对工作成效下降的单位限期整改，对达不到校园足球特色学校基本要求的学校提出警告批评，对期限内整改没有起色的学校，通报批评。
八、明确举报电话，接受社会监督
　　为做好经常性、常态化校园足球特色学校建设质量监督工作，现公布监督举报电话：0311-66005004，监督举报电子信箱：hbsxyzqjdjb@163.com。对于监督举报的情况，省教育厅将进行认真核实，经核实建设质量不合格的，提出警告批评，对限期整改仍达不到建设质量要求的学校，通报批评并建议取消校园足球特色学校资格。
河北省教育厅
2018年8月1日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/08/06/1533872293467.html,
河北省教育厅转发全国青少年校园足球领导小组办公室 中国足球协会关于完善...,2018年08月06日,"
各市（含定州、辛集市）教育局，雄安新区管委会公共服务局：

　　为进一步完善青少年校园足球与专业化青少年足球训练竞赛一体化体系，推动青少年校园足球健康发展，全国青少年校园足球领导小组办公室、中国足球协会共同研究制定了《关于完善校园足球竞赛体系畅通青少年人才培养机制的实施意见》。现转发给你们，请各地根据通知要求抓好落实。










河北省教育厅
2018年8月2日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/08/06/1533872294408.html,
河北省教育厅关于加强校园足球特色学校建设质量管理与考核的通知,2018年08月03日,"
各市（含定州、辛集市）教育局,雄安新区管委会公共服务局：
　　校园足球特色学校是普及发展校园足球的主体力量。2015至2017年，我省已有1060所中小学校被教育部认定为全国青少年校园足球特色学校（以下简称校园足球特色学校）。为切实加强校园足球特色学校建设质量管理与考核，现就有关事项通知如下：
　　一、明确监管主体，落实监管责任
按照全国青少年校园足球工作领导小组办公室（以下简称全国校足办）的统一部署，省、市、县（市、区）教育行政部门依据属地管理原则，负责本地区校园足球特色学校建设质量的日常指导和监管，对各级校园足球特色学校进行统筹管理、指导和监督。
二、明确第一责任人，加强组织领导
校园足球特色学校的校长是校园足球特色学校质量管理的第一责任人，要按照《全国青少年校园足球特色学校基本标准（试行）》、《河北省校园足球特色学校评估管理办法（试行）》的要求，建立校长直接领导、学校有关部门共同参加的校园足球工作领导小组，具体规划、指导本校校园足球工作的开展。要建立健全校园足球工作机制和管理监督办法，将校园足球纳入学校发展规划和年度工作计划，切实强化组织领导和条件保障，落实教育教学要求，完善训练和竞赛体系，培养优秀后备人才，夯实基础、打牢根基、提升质量，确保校园足球各项工作扎实、有效开展，促进学生全面、健康、快乐成长。
三、明确教学要求，丰富足球文化
校园足球特色学校要在严格执行国家对体育（与健康）课程的课时规定（小学1-2年级每周为4课时，小学3-6年级和初中每周为3课时，高中各年级每周为2课时）的基础上，确保义务教育阶段学校把足球作为体育课的必修内容，每周用一节体育课进行足球教学，高中阶段学校开设足球选修课，任何学校不得以任何理由削减、挤占体育课和足球教学时间；要在保证学生每天一小时校园体育活动的基础上，每周安排不少于3次有足球相关活动内容的大课间体育活动，每周一次以上课外足球活动；每学期要举行一次校内班级足球联赛，每个班参与联赛场次不少于10场；每年要组织一次包含足球嘉年华、摄影、绘画、征文、演讲、游戏及足球竞赛等内容的校园足球文化节。
四、明确条件保障，力争全员参与
校园足球特色学校至少保证有一块符合小学5人制、初中8人制、高中11人制的足球场地，选配好足球教科书和足球（保证足球课一人一球）；校园足球活动经费纳入学校年度预算；在配齐体育教师的基础上，至少配备一名足球专项体育教师；鼓励学校其他科任教师参加足球项目的业务培训，承担组织开展校园足球活动相关任务，形成全员参与校园足球活动的良好局面。
五、明确升学机制，提升激励作用
校园足球特色小学学生可对口直升片区内校园足球特色初中。高中校园足球特色学校可以根据组建学校足球队的需要，单列计划招收初中足球特长生。要把足球学习情况纳入学生档案，作为学生综合素质评价的参考依据。
六、明确安全管理，提高防范能力
校园足球特色学校要加强对学生的安全教育和管理，结合校园足球活动特点，制定包括安全教育培训、活动过程管理、安全防范规章制度、安全应急预案、事故保险赔付在内的学校体育运动风险管理办法。在全面实施校方责任险的基础上，探索实施政府购买学生体育运动伤害险的办法，进一步提升校园足球安全保障水平，解决学校、学生和家长的后顾之忧。要保证体育设施器材的建设、配备质量，定期进行检查和维护，及时消除安全隐患。
七、明确评价机制，确保建设质量
各级教育行政部门要建立青少年校园足球评价监管机制，纳入教育督导工作范围。对校园足球特色学校办学条件、师资队伍、教学质量、活动成效等方面进行动态监管，定期进行检查评估。对工作突出的个人和学校进行表彰奖励，对工作成效下降的单位限期整改，对达不到校园足球特色学校基本要求的学校提出警告批评，对期限内整改没有起色的学校，通报批评。
八、明确举报电话，接受社会监督
　　为做好经常性、常态化校园足球特色学校建设质量监督工作，现公布监督举报电话：0311-66005004，监督举报电子信箱：hbsxyzqjdjb@163.com。对于监督举报的情况，省教育厅将进行认真核实，经核实建设质量不合格的，提出警告批评，对限期整改仍达不到建设质量要求的学校，通报批评并建议取消校园足球特色学校资格。
河北省教育厅
2018年8月1日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/08/03/1533872293655.html,
转发教育部办公厅关于组织学生收看2018年征兵宣传片的通知,2018年07月31日,"
教冀学处〔2018〕19号
各市（含定州、辛集市）教育局，各普通高校:
现将《教育部办公厅关于组织学生收看2018年征兵宣传片的通知》（教学厅函〔2018〕36号）转发给你们，请按照通知要求贯彻落实。
附件：教育部办公厅关于组织学生收看2018年征兵宣传片的通知（教学厅函〔2018〕36号）
　　　
　　　河北省教育厅学生处
　　　　　　　　　　　　　　　　　　2018年7月30日
",思政体卫与学校安全,http://jyt.hebei.gov.cn/column.jsp,http://jyt.hebei.gov.cn/col/1533808821404/2018/07/31/1533872294032.html,http://jyt.hebei.gov.cn/download.jsp?pathfile=/atm/7/2018073117104548.rar;
