序号,标题,发文日期,效力状态,内容,主题
444,河北省人民政府办公厅关于同意西柏坡高速公路一期工程设置临时主线收费站的复函, 2011-10-20,有效,,工业、交通
445,河北省人民政府办公厅关于进一步加强公安消防部队综合应急救援队伍建设的通知, 2011-10-18,有效,,公安、安全、司法
446,河北省人民政府办公厅关于调整河北省政府信息公开协调小组组成人员的通知, 2011-08-18,有效,,其他
447,河北省人民政府办公厅关于同意范庄至茨榆坨公路设置收费站的复函, 2011-08-10,有效,,工业、交通
448,河北省人民政府办公厅关于同意玉田等5个县城为省级园林县城的复函, 2011-08-10,有效,,城乡建设、环境保护
449,河北省人民政府办公厅关于同意京秦高速迁西支线设置收费站的复函, 2011-08-10,有效,,工业、交通
450,河北省人民政府办公厅关于取消保定市二环路收费项目的复函, 2011-08-03,有效,,工业、交通
451,河北省人民政府办公厅关于同意西柏坡高速试通车设置临时收费站的复函, 2011-07-18,有效,,工业、交通
452,河北省人民政府办公厅关于同意张石高速公路涞源至涞水段设置收费站的复函, 2011-07-18,有效,,工业、交通
453,河北省人民政府办公厅关于同意丹拉公路宣化至老爷庙（冀蒙界）段高速公路增加张家口西匝道收费站的复函, 2011-07-12,有效,"



",工业、交通
454,河北省人民政府办公厅关于同意张石高速公路三号地（冀蒙界）至张北段设置收费站的复函, 2011-06-30,有效,,工业、交通
455,河北省人民政府办公厅关于同意承秦高速公路承德段设置收费站的复函, 2011-06-30,有效,,工业、交通
456,河北省人民政府办公厅关于同意西柏坡高速公路设置收费站的复函, 2011-05-30,有效,,工业、交通
457,河北省人民政府办公厅关于2010年度全省消防安全责任状考核验收情况的通报, 2011-05-27,有效,"

",公安、安全、司法
458,河北省人民政府办公厅关于同意京北公路京冀界至赤城段设置收费站的复函, 2011-05-27,有效,,工业、交通
459,河北省人民政府办公厅关于同意廊沧高速公路廊坊段设置收费站的复函, 2011-05-27,有效,省交通运输厅、省财政厅、省发展和改革委员会：　　冀交公〔2011〕287号文收悉。省政府同意廊沧高速公路廊坊段建成后，设置永清南、信安、大柳河、文安、龙街、大城、臧屯7处互通立交匝道收费站，收取机动车辆通行费，以偿还建设债务。自收费之日起，收费年限为15年。　　二O一一年五月二十日省交通运输厅、省财政厅、省发展和改革委员会：　　冀交公〔2011〕287号文收悉。省政府同意廊沧高速公路廊坊段建成后，设置永清南、信安、大柳河、文安、龙街、大城、臧屯7处互通立交匝道收费站，收取机动车辆通行费，以偿还建设债务。自收费之日起，收费年限为15年。　　二O一一年五月二十日,工业、交通
460,河北省人民政府办公厅关于同意沿海高速公路沧州段设置收费站的复函, 2011-05-27,有效,,工业、交通
461,河北省人民政府办公厅关于同意京北公路崇礼至张北段设置收费站的复函, 2011-05-27,有效,省交通运输厅、省财政厅、省发展和改革委员会：　　冀交公〔2011〕241号文收悉。省政府同意京北公路京冀界至赤城段一级公路建成后，在赤城县后城镇附近设置收费站，收取机动车辆通行费，以偿还建设债务。自收费之日起，收费年限为15年。　　二O一一年五月二十日省交通运输厅、省财政厅、省发展和改革委员会：　　冀交公〔2011〕241号文收悉。省政府同意京北公路京冀界至赤城段一级公路建成后，在赤城县后城镇附近设置收费站，收取机动车辆通行费，以偿还建设债务。自收费之日起，收费年限为15年。　　二O一一年五月二十日,工业、交通
462,河北省人民政府办公厅关于印发河北省2011年食品安全重点工作安排的通知, 2011-05-27,有效,"



",卫生、体育
463,河北省人民政府办公厅转发省安全监管局等部门关于进一步加强烟花爆竹安全监督管理工作实施意见的通知, 2010-12-31,有效,,市场监管、安全生产监管
464,河北省人民政府办公厅关于印发河北省船舶污染事故应急预案的通知, 2010-12-22,有效,"













































































































































































































































































































































































































































































































































































































































































































































































































































































































































",民政、扶贫、救灾
465,河北省人民政府办公厅关于印发河北省海上搜救应急预案的通知, 2010-12-22,有效,"





























































































































































































































































































































































































































































































































































































































































































































































































































































































































",民政、扶贫、救灾
466,河北省人民政府办公厅关于对我省特定区域进一步下放行政审批权限的意见, 2010-12-21,有效,,综合政务
467,河北省人民政府办公厅关于印发河北省尾矿库整治专项行动方案的通知, 2010-12-14,有效,,市场监管、安全生产监管
468,河北省人民政府办公厅关于印发河北省环首都经济圈规划编制工作方案的通知, 2010-12-01,有效,,城乡建设、环境保护
469,河北省人民政府办公厅关于印发河北省人居环境奖评选暂行办法的通知, 2010-11-15,有效,,城乡建设、环境保护
470,河北省人民政府办公厅关于促进电影产业繁荣发展的实施意见, 2010-11-15,有效,,文化、广电、新闻出版
471,河北省人民政府办公厅关于加强地沟油整治和餐厨废弃物管理工作的意见, 2010-10-18,有效,,国民经济管理、国有资产监管
472,河北省人民政府办公厅转发关于加快推行合同能源管理促进我省节能服务产业发展实施意见的通知, 2010-10-14,有效,,国土资源、能源
473,河北省人民政府办公厅关于进一步做好农民工培训工作的实施意见, 2010-09-25,有效,,劳动、人事、监察
474,河北省人民政府办公厅关于公安消防部队建立综合应急救援队伍的通知, 2010-09-02,有效,,公安、安全、司法
475,河北省人民政府办公厅关于今年上半年各设区市节能减排目标完成情况的通报, 2010-08-31,有效,,城乡建设、环境保护
476,河北省人民政府办公厅关于同意大广高速公路深州至大名（冀豫界）段设置收费站的复函, 2010-08-15,有效,,工业、交通
477,河北省人民政府办公厅关于同意大广高速公路固安(京冀界)至深州段设置收费站的复函, 2010-08-05,有效,,工业、交通
478,河北省人民政府办公厅关于同意张石高速公路石家庄段增设收费站的复函, 2010-08-05,有效,,工业、交通
479,河北省人民政府办公厅关于开展2010年全省城镇住户基本情况抽样调查的通知, 2010-08-04,有效,,人口与计划生育、妇女儿童工作
480,河北省人民政府办公厅关于同意张家口保定市和辛集市等市县为省级园林城市（县城）的复函, 2010-08-04,有效,,城乡建设、环境保护
481,河北省人民政府办公厅关于同意宣左公路设站收费的复函, 2010-08-04,有效,,工业、交通
482,河北省人民政府办公厅关于同意承（德）唐（山）高速公路承德段建成后设置收费站收取机动车辆通行费的复函, 2010-08-04,有效,,工业、交通
483,河北省人民政府办公厅关于同意变更青红高速公路南岗收费站位置的复函, 2010-08-04,有效,,工业、交通
484,河北省人民政府办公厅关于同意京新公路土木至胶泥湾段高速公路设置收费站的复函, 2010-08-04,有效,,工业、交通
485,河北省人民政府办公厅关于印发政府规章清理工作实施方案的通知, 2010-08-04,有效,,综合政务
486,河北省人民政府办公厅关于举办河北省第十三届运动会的通知, 2010-08-04,有效,,卫生、体育
487,河北省人民政府办公厅关于同意长深公路平泉（冀辽界）至承德段高速公路建成后设置收费站收取机动车辆通行费的复函, 2010-08-04,有效,,工业、交通
488,河北省人民政府办公厅关于同意张石高速公路张保界至涞源段设置收费站的复函, 2010-08-04,有效,,工业、交通
489,河北省人民政府办公厅关于印发河北省医药卫生体制五项重点改革2010年度主要工作安排的通知, 2010-08-04,有效,,卫生、体育
490,河北省人民政府办公厅关于调整公路动物防疫监督临时检查站的复函, 2010-08-04,有效,,卫生、体育
491,河北省人民政府办公厅关于转发河北省2010年市场建设工作指导意见的通知, 2010-08-04,有效,,市场监管、安全生产监管
492,河北省人民政府办公厅关于印发河北省成品油市场秩序专项整治方案的通知, 2010-08-04,有效,,市场监管、安全生产监管
493,河北省人民政府办公厅关于同意国道205线丰南至古冶段一级公路设站收费的复函, 2010-08-04,有效,,工业、交通
494,河北省人民政府办公厅转发省扶贫办等部门关于做好农村最低生活保障制度和扶贫开发政策有效衔接扩大试点工作实施意见的通知, 2010-07-11,有效,,民政、扶贫、救灾
495,河北省人民政府办公厅关于同意唐山西外环高速公路设置南湖收费站收取机动车辆通行费的复函, 2010-05-18,有效,,公路
496,河北省人民政府办公厅转发省政府纠正行业不正之风办公室关于河北省2010年纠风工作实施意见的通知, 2010-04-27,有效,,国民经济管理、国有资产监管
497,河北省人民政府办公厅关于印发河北省城市总体规划修改工作规则的通知, 2010-04-09,有效,,城乡建设、环境保护
498,河北省人民政府办公厅关于继续深入开展“安全生产年”活动的通知, 2010-03-04,有效,,市场监管、安全生产监管
499,河北省人民政府办公厅关于同意青兰高速公路邯郸至涉县段建成后设置收费站收取机动车辆通行费的复函, 2010-01-06,有效,,工业、交通
500,河北省人民政府办公厅关于唐山市中心城区环线项目设站收费有关事项的复函, 2009-12-11,有效,,城乡建设、环境保护
501,河北省人民政府办公厅关于调整和撤销部分公路动物防疫监督检查站的复函, 2009-09-18,有效,,农业、林业、水利
502,河北省人民政府办公厅关于印发《河北省肉品市场集中整治专项行动方案》和《河北省餐饮业集中整治专项行动方案》的通知, 2009-09-11,有效,,其他
503,河北省人民政府办公厅关于同意涉左线公路收费项目变更收费站位置的复函, 2009-09-11,有效,,工业、交通
504,河北省人民政府办公厅关于唐山市东出口路桥收费项目有关问题的复函, 2009-09-11,有效,,工业、交通
505,河北省人民政府办公厅关于平泉县城西环路桥收费项目有关问题的复函, 2009-09-11,有效,,工业、交通
506,河北省人民政府办公厅关于廊坊市城区环路桥收费项目有关问题的复函, 2009-09-11,有效,,工业、交通
507,河北省人民政府办公厅关于撤销涿州市北环立交桥收费项目的通知, 2009-09-11,有效,,工业、交通
508,河北省人民政府办公厅关于唐山市北出口立交桥收费项目有关问题的复函, 2009-09-11,有效,,工业、交通
509,河北省人民政府办公厅关于张家口市区外环路收费项目有关问题的复函, 2009-09-11,有效,,工业、交通
510,河北省人民政府办公厅关于同意建立河北北大山省级自然保护区的复函, 2009-09-08,有效,,城乡建设、环境保护
511,河北省人民政府办公厅关于同意廊涿高速公路京白收费站更名的复函, 2009-09-08,有效,,公路
512,河北省人民政府办公厅关于开展“救助困难职工一日捐”活动的通知, 2009-08-21,有效,,其他
513,河北省人民政府办公厅关于同意保阜高速公路设置收费站收取机动车辆通行费的复函, 2009-08-10,有效,,公路
514,河北省人民政府办公厅关于印发依法实施行政许可项目的通知, 2009-07-07,有效,,其他
515,河北省人民政府办公厅关于同意邦宽线遵化市段一级公路建成后设置收费站收取机动车辆通行费的复函, 2009-07-06,有效,,公路
516,河北省人民政府办公厅关于同意丰润至天津一级公路建成后设置收费站收取机动车辆通行费的复函, 2009-07-06,有效,,公路
517,河北省人民政府办公厅关于做好“两节”期间食品安全工作的通知, 2009-06-23,有效,,市场监管、安全生产监管
518,河北省人民政府办公厅关于调整省引滦工程管理局管理体制的通知, 2009-06-18,有效,,其他
519,河北省人民政府办公厅印发《关于省领导在石家庄市调研时石家庄市要求解决的几个问题的落实意见》的通知, 2009-06-18,有效,,其他
520,河北省人民政府办公厅关于调整河北省地震安全评定委员会成员的通知, 2009-06-18,有效,,其他
521,河北省人民政府办公厅关于同意沧乐线公路项目建成后设站收取机动车辆通行费的复函, 2009-06-18,有效,,工业、交通
522,河北省人民政府办公厅关于同意调整和增设临时公路动物防疫监督检查站的复函, 2009-06-18,有效,,其他
523,河北省人民政府办公厅关于部分处室称谓调整的通知, 2009-06-18,有效,,其他
524,河北省人民政府办公厅关于调整省爱国卫生运动委员会组成人员的通知, 2009-06-18,有效,,卫生、体育
525,河北省人民政府办公厅关于调整省劳动教养管理委员会组成人员的通知, 2009-06-18,有效,,其他
526,河北省人民政府办公厅关于印发我省参加第七届中国投资贸易洽谈会筹备工作方案的通知, 2009-06-18,有效,,商贸、海关、旅游
527,河北省人民政府办公厅关于实行对各市下岗失业人员再就业工作定期通报制度的通知, 2009-06-18,有效,,劳动、人事、监察
528,河北省人民政府办公厅关于调整省政府残疾人工作协调委员会组成人员的通知, 2009-06-18,有效,,其他
529,河北省人民政府办公厅印发关于支持燕山大学科技园建设发展若干政策措施的通知, 2009-06-18,有效,,科技、教育
530,河北省人民政府办公厅关于调整石家庄工程技术学校隶属关系的通知, 2009-06-18,有效,,科技、教育
531,河北省人民政府办公厅关于对省级高新技术产业开发区进行调整的通知, 2009-06-18,有效,,其他
532,河北省人民政府办公厅关于表彰2001—2002年度全省政府系统信息工作优胜单位、省先进信息联系点县（市、区）、优秀信息工作者的通报, 2009-06-18,有效,,其他
533,河北省人民政府办公厅转发国务院减轻企业负担部际联席会议关于防治“非典”期间对部分行业减免行政事业性收费的通知, 2009-06-18,有效,,其他
534,河北省人民政府办公厅关于国家开发银行石家庄分行更名为国家开发银行河北省分行的通知, 2009-06-18,有效,,财政、金融、审计
535,河北省人民政府办公厅关于调整部分省政府议事协调机构和临时机构的通知, 2009-06-18,有效,,其他
536,河北省人民政府办公厅关于调整河北省地震灾害损失评定委员会成员的通知, 2009-06-18,有效,,其他
537,河北省人民政府办公厅关于同意１０６国道衡水、邢台段建成后设站收取机动车辆通行费的复函, 2009-06-18,有效,,工业、交通
538,河北省人民政府办公厅关于表彰２００２年度全省政府系统政务信息化工作争先创优活动先进单位、先进个人的通报, 2009-06-18,有效,,其他
539,河北省人民政府办公厅关于加快全省政府系统专用宽带网络平台建设的通知, 2009-06-18,有效,,其他
540,河北省人民政府办公厅关于成立河北省实施２１世纪初期首都水资源可持续利用规划领导小组的通知, 2009-06-18,有效,,其他
541,河北省人民政府办公厅关于印发第二十届河北省经济贸易洽谈会筹备工作总体方案的通知, 2009-06-18,有效,,其他
542,河北省人民政府办公厅关于同意廊泊线建成后共用廊坊市南出口收费站收取机动车辆通行费的复函, 2009-06-18,有效,,工业、交通
543,河北省人民政府办公厅关于印发第十七届全国荷花展览会工作方案的通知, 2009-06-18,有效,,其他
544,河北省人民政府办公厅关于同意开滦（集团）有限责任公司迁建唐山市古冶区尖角村的复函, 2009-06-18,有效,,其他
545,河北省人民政府办公厅关于成立河北省小麦机收跨区作业指挥部的通知, 2009-06-18,有效,,农业、林业、水利
546,河北省人民政府办公厅关于同意１０１国道漫子沟至辽宁界段公路项目建成后设站收取机动车辆通行费的复函, 2009-06-18,有效,,工业、交通
547,河北省人民政府办公厅关于印发《第七届中国（廊坊）农产品交易会筹备工作总体方案》的通知, 2009-06-18,有效,,农业、林业、水利
548,河北省人民政府办公厅关于建立省再就业工作联席会议制度的通知, 2009-06-18,有效,,劳动、人事、监察
549,河北省人民政府办公厅关于调整省政府抗震救灾指挥部和省政府防震减灾工作联席会议成员和职责的通知, 2009-06-18,有效,,其他
550,河北省人民政府办公厅关于妥善安置食品药品监督管理体制改革后未上划人员的通知, 2009-06-17,有效,,其他
551,河北省人民政府办公厅关于节约用水执法主体和农业用水缴纳水资源费问题有关情况的报告, 2009-06-17,有效,,国土资源、能源
552,河北省人民政府办公厅关于调整河北省边防委员会成员的通知, 2009-06-17,有效,,其他
553,河北省人民政府办公厅关于调整河北省自学考试委员会成员的通知, 2009-06-17,有效,,其他
554,河北省人民政府办公厅关于政府同民主党派、工商联对口联系单位名称变更的通知, 2009-06-17,有效,,其他
555,河北省人民政府办公厅关于同意京张高速公路二期工程建成收费的复函, 2009-06-17,有效,,工业、交通
556,河北省人民政府办公厅关于同意承赤东线建成通车后设置收费站收取机动车辆通行费的复函, 2009-06-17,有效,,工业、交通
557,河北省人民政府办公厅关于转发《河北省整治油气田及输油气管道生产治安秩序专项行动工作方案》的通知, 2009-06-17,有效,,国土资源、能源
558,河北省人民政府办公厅关于成立河北省民用机场管理体制改革工作小组的通知, 2009-06-17,有效,,其他
559,河北省人民政府办公厅关于印发２００５年农业和农村工作任务分解的通知, 2009-06-17,有效,,农业、林业、水利
560,河北省人民政府办公厅关于开展清理整顿不法排污企业保障群众健康环保专项行动的通知, 2009-06-17,有效,,城乡建设、环境保护
561,河北省人民政府办公厅关于印发《河北省２００５年保护知识产权宣传周活动实施方案》的通知, 2009-06-17,有效,,其他
562,河北省人民政府办公厅转发省教育厅等部门关于进一步做好中小学危房改造和布局调整工作意见的通知, 2009-06-17,有效,,其他
563,河北省人民政府办公厅关于对全省治理整顿土地市场秩序工作进行检查验收的通知, 2009-06-17,有效,各设区市人民政府，省政府有关部门：为确保治理整顿土地市场秩序工作成效，根据省政府第十二次常务会议精神，省将于今年１１月上旬，组成由省国土资源厅牵头，省发改委、省建设厅、省监察厅、省审计厅、省科技厅、省商务厅、省中小企业局等部门为成员的六个联合检查验收组，对全省治理整顿土地市场秩序工作进行检查验收。现将有关事项通知如下：一、总体要求（一）全面检查。按照国务院办公厅国办发〔２００３〕７０号、国办发明电〔２００３〕３０号文件要求和全国、省电视电话会议精神以及《河北省人民政府办公厅转发省国土资源厅关于进一步整顿全省土地市场秩序工作方案的通知》（办字〔２００３〕１０号）、《河北省人民政府办公厅关于进一步治理整顿土地市场秩序的通知》（办字〔２００３〕７６号）的安排部署，以科学、务实、严肃、认真的态度，对治理整顿工作进行全面检查和严格验收，确保工作不走过场。（二）重在整改。重点检查各地对土地市场秩序存在问题的自查自纠整改情况，主要是违规设立的各类开发区（园区）是否得到清理，经营性用地招标拍卖挂牌出让制度是否落实，非法占用和转让土地的行为是否受到查处，土地管理的依法行政水平是否明显提高。（三）从严掌握。检查验收不得随意降低标准，达不到验收标准的，不能通过验收。整改期间，省国土资源厅将暂停受理当地建设用地报件、暂停下达年度建设用地计划指标、暂停城市规划区内新增建设项目的规划审批。二、检查验收标准（一）认真贯彻全国和全省电视电话会议精神，扎实推进治理整顿工作。１、各级主要领导亲自抓、负总责，分管领导主动协助，其他领导积极配合，有关部门积极参与，根据治理整顿工作的要求，对本地区治理整顿土地市场秩序工作进行了部署、安排和认真督查。２、认真分析本地土地市场秩序中的突出问题，查找原因，采取有效措施进行整改，取得明显成效。对征地补偿安置不落实等关系农民切身利益的问题高度重视，并采取了有效措施。３、对本地出台的与土地市场有关的规章、规范性文件等进行清理，撤销或修订了与现行法律、行政法规相抵触的规章和规范性文件。４、认真落实国务院和省督查组提出的督查意见，按照要求进行了整改。（二）治理整顿开发区（园区）用地取得明显成效。１、根据《国务院办公厅暂停审批各类开发区的紧急通知》（国办发明电〔２００３〕３０号）要求，已停止审批设立新的开发区（园区），停止扩区。２、根据《国务院办公厅关于清理整顿各类开发区加强建设用地管理的通知》（国办发〔２００３〕７０号）和省国土资源厅有关文件的要求，已摸清开发区（园区）底数，并如实上报。３、对开发区（园区）违反土地利用总体规划或城市总体规划圈占的土地，已经或者正在复耕、恢复原用途；已开发建设的土地，不能复耕或者恢复原用途的，已经或者正在按照建设用地总规模不扩大、耕地和基本农田总量不减少的原则依法修改用地利用总体规划，并从所在区域土地利用总体规划剩余建设用地指标中核减。４、开发区（园区）用地虽经依法批准，对缺乏建设条件、项目资金不落实、尚未开发建设的，政府依法收回了土地。依法收回的土地能够复耕的，已经或者正在组织复耕。５、开发区（园区）建设用地实行了集中统一管理，违法下放农用地转用、土地征用、供地审批权以及土地规划和城市规划管理权等错误做法得到纠正。（三）经营性用地招标拍卖挂牌出让制度得到全面落实。１、对《招标拍卖挂牌出让国有土地使用权规定》（国土资源部令１１号）实施前遗留的问题进行了认真清理，按规定可以协议出让的，进行了地价评估、集体决策，并将受让人及受让地块位置、面积、用途、成交地价等向社会公布。２、２００２年７月１日以后，经营性用地已经通过招标拍卖挂牌方式出让，对规避招标拍卖挂牌出让的行为进行了纠正。３、开发区（园区）内的经营性用地，已由政府国土资源部门统一招标拍卖挂牌出让。４、领导干部违规干预经营性用地出让的问题得到纠正，对有关责任人依据有关规定进行了处理。（四）执法不严得到纠正，制度建设明显加强。１、土地市场建设各项制度未建立或者不完善的，在治理整顿期间建立或者完善，并有效地贯彻执行。２、国土专项资金管理违反财经纪律，特别是违反国家“收支两条线”规定的问题得到纠正。３、非法占用、转让土地的行为得到查处，对重大、典型案件进行了通报或曝光。４、对未经依法批准的用地行为，负有责任的政府领导、主管部门领导已经作出深刻检查。对违反规划批地或者造成严重后果的，已经进行了严肃查处。５、通过土地市场秩序治理整顿，土地管理的依法行政水平得到明显提高。三、检查验收办法设区市政府对所辖县（市、区）要逐一检查验收，于１０月３１日前向省整顿督查办公室报送整顿情况工作报告和各项统计表，并向省政府申请检查验收。省政府将对设区市逐一进行检查验收，并对部分县（市、区）进行抽查。有２０％以上县（市、区）验收不合格的设区市，不得向省政府申请验收。检查验收采取听取市、县政府主要领导和分管领导汇报，调阅台账、卷宗、图件，核查相关资料和数据，实地抽查，召开座谈会，听取群众意见等方式进行。每市检查时间为２—３天。四、分组安排第一组：邯郸、邢台市第二组：石家庄市第三组：保定、廊坊市第四组：沧州市、衡水市第五组：唐山、秦皇岛市第六组：张家口、承德市以上各组均由省国土资源厅领导带队，成员由省国土资源厅、省发改委、省建设厅、省监察厅、省审计厅、省科技厅、省商务厅、省中小企业局各１人组成。二○○三年十月二十四日 公开程序：本单位审核后公开责任部门：省政府办公厅秘书一处各设区市人民政府，省政府有关部门：为确保治理整顿土地市场秩序工作成效，根据省政府第十二次常务会议精神，省将于今年１１月上旬，组成由省国土资源厅牵头，省发改委、省建设厅、省监察厅、省审计厅、省科技厅、省商务厅、省中小企业局等部门为成员的六个联合检查验收组，对全省治理整顿土地市场秩序工作进行检查验收。现将有关事项通知如下：一、总体要求（一）全面检查。按照国务院办公厅国办发〔２００３〕７０号、国办发明电〔２００３〕３０号文件要求和全国、省电视电话会议精神以及《河北省人民政府办公厅转发省国土资源厅关于进一步整顿全省土地市场秩序工作方案的通知》（办字〔２００３〕１０号）、《河北省人民政府办公厅关于进一步治理整顿土地市场秩序的通知》（办字〔２００３〕７６号）的安排部署，以科学、务实、严肃、认真的态度，对治理整顿工作进行全面检查和严格验收，确保工作不走过场。（二）重在整改。重点检查各地对土地市场秩序存在问题的自查自纠整改情况，主要是违规设立的各类开发区（园区）是否得到清理，经营性用地招标拍卖挂牌出让制度是否落实，非法占用和转让土地的行为是否受到查处，土地管理的依法行政水平是否明显提高。（三）从严掌握。检查验收不得随意降低标准，达不到验收标准的，不能通过验收。整改期间，省国土资源厅将暂停受理当地建设用地报件、暂停下达年度建设用地计划指标、暂停城市规划区内新增建设项目的规划审批。二、检查验收标准（一）认真贯彻全国和全省电视电话会议精神，扎实推进治理整顿工作。１、各级主要领导亲自抓、负总责，分管领导主动协助，其他领导积极配合，有关部门积极参与，根据治理整顿工作的要求，对本地区治理整顿土地市场秩序工作进行了部署、安排和认真督查。２、认真分析本地土地市场秩序中的突出问题，查找原因，采取有效措施进行整改，取得明显成效。对征地补偿安置不落实等关系农民切身利益的问题高度重视，并采取了有效措施。３、对本地出台的与土地市场有关的规章、规范性文件等进行清理，撤销或修订了与现行法律、行政法规相抵触的规章和规范性文件。４、认真落实国务院和省督查组提出的督查意见，按照要求进行了整改。（二）治理整顿开发区（园区）用地取得明显成效。１、根据《国务院办公厅暂停审批各类开发区的紧急通知》（国办发明电〔２００３〕３０号）要求，已停止审批设立新的开发区（园区），停止扩区。２、根据《国务院办公厅关于清理整顿各类开发区加强建设用地管理的通知》（国办发〔２００３〕７０号）和省国土资源厅有关文件的要求，已摸清开发区（园区）底数，并如实上报。３、对开发区（园区）违反土地利用总体规划或城市总体规划圈占的土地，已经或者正在复耕、恢复原用途；已开发建设的土地，不能复耕或者恢复原用途的，已经或者正在按照建设用地总规模不扩大、耕地和基本农田总量不减少的原则依法修改用地利用总体规划，并从所在区域土地利用总体规划剩余建设用地指标中核减。４、开发区（园区）用地虽经依法批准，对缺乏建设条件、项目资金不落实、尚未开发建设的，政府依法收回了土地。依法收回的土地能够复耕的，已经或者正在组织复耕。５、开发区（园区）建设用地实行了集中统一管理，违法下放农用地转用、土地征用、供地审批权以及土地规划和城市规划管理权等错误做法得到纠正。（三）经营性用地招标拍卖挂牌出让制度得到全面落实。１、对《招标拍卖挂牌出让国有土地使用权规定》（国土资源部令１１号）实施前遗留的问题进行了认真清理，按规定可以协议出让的，进行了地价评估、集体决策，并将受让人及受让地块位置、面积、用途、成交地价等向社会公布。２、２００２年７月１日以后，经营性用地已经通过招标拍卖挂牌方式出让，对规避招标拍卖挂牌出让的行为进行了纠正。３、开发区（园区）内的经营性用地，已由政府国土资源部门统一招标拍卖挂牌出让。４、领导干部违规干预经营性用地出让的问题得到纠正，对有关责任人依据有关规定进行了处理。（四）执法不严得到纠正，制度建设明显加强。１、土地市场建设各项制度未建立或者不完善的，在治理整顿期间建立或者完善，并有效地贯彻执行。２、国土专项资金管理违反财经纪律，特别是违反国家“收支两条线”规定的问题得到纠正。３、非法占用、转让土地的行为得到查处，对重大、典型案件进行了通报或曝光。４、对未经依法批准的用地行为，负有责任的政府领导、主管部门领导已经作出深刻检查。对违反规划批地或者造成严重后果的，已经进行了严肃查处。５、通过土地市场秩序治理整顿，土地管理的依法行政水平得到明显提高。三、检查验收办法设区市政府对所辖县（市、区）要逐一检查验收，于１０月３１日前向省整顿督查办公室报送整顿情况工作报告和各项统计表，并向省政府申请检查验收。省政府将对设区市逐一进行检查验收，并对部分县（市、区）进行抽查。有２０％以上县（市、区）验收不合格的设区市，不得向省政府申请验收。检查验收采取听取市、县政府主要领导和分管领导汇报，调阅台账、卷宗、图件，核查相关资料和数据，实地抽查，召开座谈会，听取群众意见等方式进行。每市检查时间为２—３天。四、分组安排第一组：邯郸、邢台市第二组：石家庄市第三组：保定、廊坊市第四组：沧州市、衡水市第五组：唐山、秦皇岛市第六组：张家口、承德市以上各组均由省国土资源厅领导带队，成员由省国土资源厅、省发改委、省建设厅、省监察厅、省审计厅、省科技厅、省商务厅、省中小企业局各１人组成。二○○三年十月二十四日 公开程序：本单位审核后公开责任部门：省政府办公厅秘书一处,工业、交通
564,河北省人民政府办公厅关于同意无繁线新乐至行唐阜平界公路项目建成后设站收取机动车辆通行费的复函, 2009-06-17,有效,,工业、交通
565,河北省人民政府办公厅关于同意邢峰线峰峰段公路项目建成后设站收取机动车辆通行费的复函, 2009-06-17,有效,,工业、交通
566,河北省人民政府办公厅关于认真做好元旦春节期间安全生产工作的通知, 2009-06-17,有效,,市场监管、安全生产监管
567,河北省人民政府办公厅关于调整省安全生产委员会组成人员及其职责的通知, 2009-06-17,有效,,其他
568,河北省人民政府办公厅关于进一步规范公文报送程序的通知, 2009-06-17,有效,,综合政务
569,河北省人民政府办公厅转发省劳动和社会保障厅关于贯彻落实《工伤保险条例》意见的通知, 2009-06-17,有效,,劳动、人事、监察
570,河北省人民政府办公厅关于全省疾控建设项目督导检查情况的通报, 2009-06-17,有效,,卫生、体育
571,"河北省人民政府办公厅关于对驻冀全国政协委员《关于学习上海经验,推进我省电子政务建设的建议》办理情况的函", 2009-06-17,有效,,其他
572,河北省人民政府办公厅关于对《南水北调中线一期工程项目建议书》意见的函, 2009-06-17,有效,,农业、林业、水利
573,河北省人民政府办公厅关于京秦高速公路山海关主线站改为半幅站及增加孟姜匝道站的复函, 2009-06-17,有效,,工业、交通
574,河北省人民政府办公厅关于调整河北省老龄工作委员会成员的通知, 2009-06-17,有效,,其他
575,河北省人民政府办公厅关于进一步做好机关公文处理工作的通知, 2009-06-17,有效,,综合政务
576,河北省人民政府办公厅关于同意承德市双滦区滦广公路建成通车后设站收取机动车辆通行费的复函, 2009-06-17,有效,,工业、交通
577,河北省人民政府办公厅关于分解下达2004年就业再就业工作目标的通知, 2009-06-16,有效,,劳动、人事、监察
578,河北省人民政府办公厅关于印发河北省整治违法排污企业保障群众健康环保专项行动工作方案的通知, 2009-06-16,有效,,城乡建设、环境保护
579,河北省人民政府办公厅关于承德市环路收费项目有关问题的复函, 2009-06-16,有效,,工业、交通
580,河北省人民政府办公厅关于邯郸市环城路桥收费项目有关问题的复函, 2009-06-16,有效,,工业、交通
581,河北省人民政府办公厅关于全省煤矿安全督导检查情况的通报, 2009-06-16,有效,,市场监管、安全生产监管
582,河北省人民政府办公厅关于印发《河北省严厉打击煤矿违法生产联合执法实施方案》的通知, 2009-06-16,有效,,市场监管、安全生产监管
583,河北省人民政府办公厅关于迁安市滦河特大桥及引线工程收费项目有关问题的复函, 2009-06-16,有效,,工业、交通
584,河北省人民政府办公厅关于印发２００５年河北省地质灾害防治方案的通知, 2009-06-16,有效,,国土资源、能源
